IN_cities,US_cities
Delhi,"Tucson, AZ"
Kolkata,"Miami, FL"
Chennai,"Miami, FL"
Hyderabad,"Orlando, FL"
Pune,"Orlando, FL"
Surat,"Miami, FL"
Kanpur,"Orlando, FL"
Jaipur,"Orlando, FL"
Lucknow,"Orlando, FL"
Nagpur,"Miami, FL"
Indore,"Orlando, FL"
Patna,"Orlando, FL"
Bhopal,"Orlando, FL"
Ludhiana,"Orlando, FL"
Agra,"Orlando, FL"
Gorakhpur,"Orlando, FL"
Meerut,"Orlando, FL"
Rajkot,"Orlando, FL"
Varanasi,"Orlando, FL"
Amritsar,"Houston, TX"
Allahabad,"Orlando, FL"
Jabalpur,"Miami, FL"
Srinagar,"Richmond, VA"
Chandigarh,"Orlando, FL"
Jodhpur,"Phoenix, AZ"
Madurai,"Brownsville, TX"
Guwahati,"Miami, FL"
Gwalior,"Orlando, FL"
Mysore,"Orlando, FL"
Ranchi,"Miami, FL"
Thiruvananthapuram,"Miami, FL"
Salem,"Salem, OR"
Kota,"Orlando, FL"
Bhubaneshwar,"Miami, FL"
Aligarh,"Orlando, FL"
Bareilly,"Orlando, FL"
Moradabad,"Brownsville, TX"
Raipur,"Miami, FL"
Jamshedpur,"Miami, FL"
Cochin,"Miami, FL"
Sangli,"Orlando, FL"
Cuttack,"Miami, FL"
Bikaner,"Phoenix, AZ"
Nanded,"Brownsville, TX"
Ajmer,"Orlando, FL"
Kolhapur,"Miami, FL"
Gulbarga,"Orlando, FL"
Jammu,"New Orleans, LA"
Kurnool,"Orlando, FL"
Ujjain,"Orlando, FL"
Ramgundam,"Orlando, FL"
Kozhikode,"Miami, FL"
Malegaon,"Brownsville, TX"
Davangere,"Brownsville, TX"
Jalgaon,"Orlando, FL"
Gaya,"Orlando, FL"
Mangalore,"Miami, FL"
Jhansi,"Orlando, FL"
Nellore,"Brownsville, TX"
Ahmadnagar,"Brownsville, TX"
Bhagalpur,"Orlando, FL"
Bellary,"Brownsville, TX"
Muzaffarpur,"Orlando, FL"
Patiala,"Orlando, FL"
Bhilwara,"Orlando, FL"
Shimoga,"Brownsville, TX"
New Delhi,"Tucson, AZ"
Rohtak,"Brownsville, TX"
Nizamabad,"Orlando, FL"
Bali,"Miami, FL"
Kakinada,"Miami, FL"
Parbhani,"Orlando, FL"
Darbhanga,"Orlando, FL"
Alwar,"Phoenix, AZ"
Bijapur,"Brownsville, TX"
Jalna,"Brownsville, TX"
Satna,"Orlando, FL"
Durg,"Orlando, FL"
Mau,"Orlando, FL"
Hapur,"Miami, FL"
Anantapur,"Brownsville, TX"
Ratlam,"Orlando, FL"
Ganganagar,"Phoenix, AZ"
Raichur,"Brownsville, TX"
Karnal,"Tucson, AZ"
Imphal,"Jacksonville, FL"
Rewa,"Orlando, FL"
Bidar,"Brownsville, TX"
Agartala,"Miami, FL"
Chapra,"Orlando, FL"
Sikar,"Tucson, AZ"
Gandhinagar,"Orlando, FL"
Machilipatnam,"Miami, FL"
Ellore,"Brownsville, TX"
Khandwa,"Miami, FL"
Surendranagar,"Orlando, FL"
Vellore,"Orlando, FL"
Shimla,"Norfolk, VA"
Ongole,"Orlando, FL"
Puri,"Miami, FL"
Khammam,"Orlando, FL"
Nandyal,"Orlando, FL"
Shivpuri,"Tucson, AZ"
Veraval,"Orlando, FL"
Sambalpur,"Miami, FL"
Gadag,"Orlando, FL"
Cuddalore,"Houston, TX"
Orai,"Orlando, FL"
Guna,"Orlando, FL"
Silchar,"Miami, FL"
Banda,"Orlando, FL"
Ambala,"Orlando, FL"
Krishnanagar,"Orlando, FL"
Balurghat,"Brownsville, TX"
Lakhimpur,"Miami, FL"
Porbandar,"Orlando, FL"
Chitradurga,"Orlando, FL"
Chhindwara,"Orlando, FL"
Mandya,"Brownsville, TX"
Bankura,"Miami, FL"
Bhuj,"Brownsville, TX"
Shillong,"Jacksonville, FL"
Moga,"Brownsville, TX"
Hassan,"Orlando, FL"
Gondia,"Orlando, FL"
Hardoi,"Orlando, FL"
Dibrugarh,"Miami, FL"
Nalgonda,"Orlando, FL"
Damoh,"Orlando, FL"
Adilabad,"Orlando, FL"
Balasore,"Miami, FL"
Wardha,"Orlando, FL"
Satara,"Orlando, FL"
Port Blair,"Miami, FL"
