US_cities,IN_cities
"New York, NY",Srinagar
"Los Angeles, CA",Ahmadnagar
"Chicago, IL",Srinagar
"Houston, TX",Amritsar
"Phoenix, AZ",Karnal
"Philadelphia, PA",Srinagar
"San Antonio, TX",Amritsar
"San Diego, CA",Ahmadnagar
"Dallas, TX",Amritsar
"Austin, TX",Amritsar
"Fort Worth, TX",Amritsar
"Jacksonville, FL",Imphal
"Columbus, OH",Srinagar
"Charlotte, NC",Salem
"San Francisco, CA",Salem
"Indianapolis, IN",Srinagar
"Seattle, WA",Salem
"Denver, CO",Srinagar
"Washington, MD",Shimla
"Boston, MA",Srinagar
"El Paso, TX",Amritsar
"Nashville, TN",Shimla
"Detroit, MI",Srinagar
"Portland, OR",Salem
"Las Vegas, NV",Amritsar
"Oklahoma City, OK",Shimla
"Memphis, TN",Salem
"Louisville, KY",Srinagar
"Baltimore, MD",Shimla
"Milwaukee, WI",Srinagar
"Albuquerque, NM",Shimla
"Tucson, AZ",Amritsar
"Fresno, CA",Amritsar
"Atlanta, GA",Shimla
"Kansas City, MO",Srinagar
"Miami, FL",Balasore
"Raleigh, NC",Shimla
"Omaha, NE",Srinagar
"Long Beach, CA",Ahmadnagar
"Minneapolis, MN",Srinagar
"Tulsa, OK",Salem
"Bakersfield, CA",Amritsar
"New Orleans, LA",Jammu
"Wichita, TX",Amritsar
"Cleveland, OH",Srinagar
"Lexington, KY",Shimla
"Corpus Christi, TX",Karnal
"Stockton, CA",Salem
"Cincinnati, OH",Srinagar
"Greensboro, NC",Salem
"Pittsburgh, PA",Srinagar
"Orlando, FL",Chandigarh
"Newark, NJ",Srinagar
"Durham, NC",Shimla
"Fort Wayne, IN",Srinagar
"Toledo, OH",Srinagar
"Madison, AL",Salem
"Lubbock, TX",Shimla
"Buffalo, NY",Srinagar
"Norfolk, VA",Shimla
"Boise, ID",Srinagar
"Richmond, VA",Salem
"Tacoma, WA",Salem
"Des Moines, IA",Srinagar
"Salt Lake City, UT",Srinagar
"Grand Rapids, MI",Srinagar
"Rochester, MN",Srinagar
"Huntsville, AL",Salem
"Amarillo, TX",Shimla
"Tallahassee, FL",Jammu
"Akron, OH",Srinagar
"Montgomery, AL",Amritsar
"Augusta, GA",Amritsar
"Knoxville, TN",Srinagar
"Sioux Falls, SD",Srinagar
"Mobile, AL",Jammu
"Chattanooga, TN",Salem
"Shreveport, LA",Amritsar
"Brownsville, TX",Chapra
"Peoria, IL",Srinagar
"Salem, OR",Salem
"Providence, RI",Srinagar
"Eugene, OR",Salem
"Savannah, GA",Amritsar
"Rockford, IL",Srinagar
"Midland, TX",Amritsar
"Waco, TX",Amritsar
"Bridgeport, CT",Srinagar
"Albany, NY",Srinagar
